,_id_x,auction_location,auction_time,city_url,date_of_auction,date_of_scraping,deposit,law_firm,lawfirm,listing_url,principal_amount,principal_date,property_address,url,_id_y,bathrooms,bedrooms,lat,lng,lot_size,region_name,unique_id,zcity,zestimate,zpid,zstate,zstreet_address,zzip
178,5ca7b739737ae14b3cac1c36,[],auction_time,,date_of_auction,14:49.7,15000,,lawfirm,listing_url,628408,principal_date,"9505 yawl court burke, va 22015",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ade737ae14cfce01bd6,5,4,38.757232,-77.27592,12802,Burke,5ca7b739737ae14b3cac1c36,Burke,740577,51933423,VA,9505 Yawl Ct,22015
180,5ca7b739737ae14b3cac1c37,[],auction_time,,date_of_auction,14:50.0,30000,,lawfirm,listing_url,300000,principal_date,"1312 yellow tavern court, herndon, va 20170",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ade737ae14cfce01bd7,3.5,4,38.999905,-77.37218,12372,Herndon,5ca7b739737ae14b3cac1c37,Herndon,581620,51705408,VA,1312 Yellow Tavern Ct,20170
182,5ca7b73a737ae14b3cac1c38,[],auction_time,,date_of_auction,14:50.2,52000,,lawfirm,listing_url,520000,principal_date,"9209 briary lane, fairfax, va 22031",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4adf737ae14cfce01bd8,3,4,38.840413,-77.263283,10890,Mantua,5ca7b73a737ae14b3cac1c38,Fairfax,687967,51838541,VA,9209 Briary Ln,22031
186,5ca7b73a737ae14b3cac1c3a,[],auction_time,,date_of_auction,14:50.6,51500,,lawfirm,listing_url,515000,principal_date,"3510 sharon chapel road, alexandria, va 22310",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4adf737ae14cfce01bda,3,3,38.790339,-77.093094,22651,Rose Hill,5ca7b73a737ae14b3cac1c3a,Alexandria,630597,51923061,VA,3510 Sharon Chapel Rd,22310
188,5ca7b73a737ae14b3cac1c3b,[],auction_time,,date_of_auction,14:50.8,9000,,lawfirm,listing_url,90000,principal_date,"6722 quander road, alexandria, va 22307",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ae0737ae14cfce01bdb,1,,38.771035,-77.068851,12196,Groveton,5ca7b73a737ae14b3cac1c3b,Alexandria,447891,51956811,VA,6722 Quander Rd,22307
212,5ca7b73d737ae14b3cac1c47,[],auction_time,,date_of_auction,14:54.0,20000,,lawfirm,listing_url,98223,principal_date,"3121 n pershing drive, arlington, va 22201",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ae3737ae14cfce01be7,1,2,38.878802,-77.095563,7840,Lyon Park,5ca7b73d737ae14b3cac1c47,Arlington,774429,12087122,VA,3121 N Pershing Dr,22201
214,5ca7b73e737ae14b3cac1c48,[],auction_time,,date_of_auction,14:54.2,20000,,lawfirm,listing_url,-1,principal_date,"935 s wakefield street, arlington, va 22204",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ae3737ae14cfce01be8,3.5,2,38.858183,-77.106546,6098,Barcroft,5ca7b73e737ae14b3cac1c48,Arlington,777624,12092043,VA,935 S Wakefield St,22204
216,5ca7b73e737ae14b3cac1c49,[],auction_time,,date_of_auction,14:54.4,4500,,lawfirm,listing_url,-1,principal_date,"903 s frederick street unit #7 arlington, va 22204",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ae3737ae14cfce01be9,1,2,38.854671,-77.113374,,Columbia Forest,5ca7b73e737ae14b3cac1c49,Arlington,197730,12095481,VA,903 S Frederick St APT 7,22204
218,5ca7b73e737ae14b3cac1c4a,[],auction_time,,date_of_auction,14:54.6,57500,,lawfirm,listing_url,57500,principal_date,"6421 26th street north arlington, va 22207",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ae4737ae14cfce01bea,4.5,5,38.894777,-77.156637,6534,Arlington-East Falls,5ca7b73e737ae14b3cac1c4a,Arlington,1439931,12056428,VA,6421 26th St N,22207
1186,5cad2b6c737ae125a03fff85,"4100 Chain Bridge Road, Fairfax, MD 20772",9:30 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/2.html,4/8/2019 0:00,31:56.3,11000,"ALG Trustee, LLC, http://www.orlans.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/93715/00024594.html,232000,2/28/2003 0:00,13303,,5cae4b8f737ae14cfce01dce,1,3,43.310268,-75.405065,15000,Western,5cad2b6c737ae125a03fff85,Ava,252067,31614642,NY,6 Lake View Dr LOT 13303,13303
1188,5cad2b6f737ae125a03fff86,"4100 Chain Bridge Road, Fairfax, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/3.html,4/9/5042 0:00,31:59.8,-0.2," McCabe, Weisberg & Conway, LLC., http://www.mwc-law.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94488/00025550.html,-2,3/22/2019 0:00,"5518 maplefield place, alexandria, virginia 22310",,5cae4b90737ae14cfce01dcf,3,3,38.785637,-77.130133,1540,Rose Hill,5cad2b6f737ae125a03fff86,Alexandria,441786,51918205,VA,5518 Maplefield Pl,22310
1190,5cad2b73737ae125a03fff87,"4100 Chain Bridge Road, Fairfax, MD 20772",9:30 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/3.html,4/12/2019 0:00,32:03.1,15000,"ALG Trustee, LLC, http://www.orlans.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94233/00025049.html,612000,8/24/2006 0:00,"6242 rolling spring court springfield, va 22152",,5cae4b90737ae14cfce01dd0,4.5,4,38.782337,-77.245974,8612,Springfield,5cad2b73737ae125a03fff87,Springfield,858854,60392415,VA,6242 Rolling Spring Ct,22152
1192,5cad2b76737ae125a03fff88,"4100 Chain Bridge Road, Fairfax, MD 20772",9:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/4.html,4/25/2019 0:00,32:06.7,99500,"BWW Law Group, LLC, http://www.bwwsales.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94265/00025223.html,995000,12/7/2005 0:00,"3275 pony ridge way, oakton, va 22124",,5cae4b90737ae14cfce01dd1,4.5,4,38.892504,-77.362318,41548,Oakton,5cad2b76737ae125a03fff88,Oakton,1221870,59787012,VA,3275 Pony Ridge Way,22124
1194,5cad2b79737ae125a03fff89,"4100 Chain Bridge Road, Fairfax, MD 20772",9:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/4.html,4/25/2019 0:00,32:10.0,28200,"BWW Law Group, LLC, http://www.bwwsales.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94782/00025745.html,282000,3/16/2007 0:00,"7314 ardglass drive, lorton, va 22079",,5cae4b91737ae14cfce01dd2,2.5,4,38.712882,-77.19454,1306,Lorton,5cad2b79737ae125a03fff89,Lorton,380548,51989468,VA,7314 Ardglass Dr,22079
1196,5cad2b7d737ae125a03fff8a,"4100 Chain Bridge Road, Fairfax, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/5.html,4/4/2019 0:00,32:13.8,37000,"BROCK & SCOTT, PLLC, http://www.mid-atlanticauctioneers.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94031/00024977.html,-1,0939-04-09 00:00:00,"3407 haven place falls church, va 22041",,5cae4b92737ae14cfce01dd3,2,3,38.852487,-77.142413,11250,Falls Church,5cad2b7d737ae125a03fff8a,Falls Church,534183,51849619,VA,3407 Haven Pl,22041
